name,OBJECTID,date,line,entries,exits,LAT,LONG
LACKAWANNA,355,03/10/2020,1,10461,9375,40.7349823,-74.02759209999999
LAFAYETTE AV,356,03/10/2020,C,3300,1507,40.6863222,-73.9744759
LEXINGTON AV/53,357,03/10/2020,EM6,32257,38127,40.7576981,-73.9690742
LEXINGTON AV/63,358,03/10/2020,F,17631,17256,40.7641324,-73.96503419999999
LIBERTY AV,359,03/10/2020,C,2841,1438,40.6744035,-73.8965181
LIVONIA AV,360,03/10/2020,L,3174,2507,40.66404,-73.90057399999999
LONGWOOD AV,361,03/10/2020,6,1426,1849,40.8163341,-73.89624309999999
LORIMER ST,362,03/10/2020,JM,4795,3540,40.7039504,-73.94738199999999
LORIMER ST,363,03/10/2020,LG,4711,1156,40.7139225,-73.9493905
MARBLE HILL-225,364,03/10/2020,1,4895,1182,40.8743487,-73.91043309999999
MARCY AV,365,03/10/2020,JMZ,12119,10431,40.7085154,-73.95785459999999
METROPOLITAN AV,366,03/10/2020,GL,7964,5114,40.7121327,-73.889276
METROPOLITAN AV,367,03/10/2020,M,3020,3158,40.7137509,-73.9517724
METS-WILLETS PT,368,03/10/2020,7,2433,2446,40.7547251,-73.8456569
MIDDLETOWN RD,369,03/10/2020,6,2155,2188,40.843915,-73.8361681
MONTROSE AV,370,03/10/2020,L,6345,3576,40.707612,-73.939877
MORGAN AV,371,03/10/2020,L,6335,3801,40.706279,-73.93198
MORISN AV/SNDVW,372,03/10/2020,6,6587,6104,40.8294898,-73.8746754
MORRIS PARK,373,03/10/2020,5,2289,2518,40.854539,-73.8602974
MOSHOLU PKWY,374,03/10/2020,4,7766,2748,40.8797547,-73.8845616
MT EDEN AV,375,03/10/2020,4,5106,3518,40.8445245,-73.9145989
MYRTLE AV,376,03/10/2020,JMZ,11721,7304,40.6972672,-73.9358171
MYRTLE-WILLOUGH,377,03/10/2020,G,5789,3133,40.69546709999999,-73.9492203
MYRTLE-WYCKOFF,378,03/10/2020,LM,18205,11727,40.699686,-73.9117713
NASSAU AV,379,03/10/2020,G,9264,9412,40.7238304,-73.9506401
NECK RD,380,03/10/2020,BQ,4073,1279,40.5951531,-73.9550266
NEPTUNE AV,381,03/10/2020,F,1497,670,40.581131,-73.97457
NEREID AV,382,03/10/2020,25,3319,1491,40.8984566,-73.8542993
NEVINS ST,383,03/10/2020,2345,9130,9272,40.6882938,-73.9805205
NEW LOTS,384,03/10/2020,L,4164,4589,40.659025,-73.899364
NEW LOTS AV,385,03/10/2020,3,5517,5981,40.6663158,-73.8837618
NEW UTRECHT AV,386,03/10/2020,ND,4225,3214,40.6255554,-73.99678589999999
NEWARK BM BW,387,03/10/2020,1,12932,419,40.7345989,-74.1639867
NEWARK C,388,03/10/2020,1,5789,300,40.7345989,-74.1639867
NEWARK HM HE,389,03/10/2020,1,2201,19027,40.7345989,-74.1639867
NEWARK HW BMEBE,390,03/10/2020,1,5034,7712,40.7345989,-74.1639867
NEWKIRK AV,391,03/10/2020,25,7181,4729,40.639969,-73.94841
NEWKIRK PLAZA,392,03/10/2020,BQ,10036,9545,40.6349893,-73.9627801
NORTHERN BLVD,393,03/10/2020,MR,6379,5464,40.7531164,-73.9071111
NORWOOD 205 ST,394,03/10/2020,D,8611,6462,40.8741411,-73.8775224
NORWOOD AV,395,03/10/2020,JZ,3130,3583,40.6817068,-73.8791274
NOSTRAND AV,396,03/10/2020,3,3972,3959,40.6697408,-73.9507388
NOSTRAND AV,397,03/10/2020,AC,16368,11135,40.6804056,-73.94957219999999
OCEAN PKWY,398,03/10/2020,Q,2905,1018,40.576313,-73.968498
OZONE PK LEFFRT,399,03/10/2020,A,7299,5865,40.6861622,-73.82452599999999
PARK PLACE,400,03/10/2020,23ACE,2619,2417,40.7132422,-74.0092559
PARK PLACE,401,03/10/2020,S,1565,1730,40.674736,-73.9578518
PARKCHESTER,402,03/10/2020,6,14984,16493,40.8332116,-73.8610088
PARKSIDE AV,403,03/10/2020,BQ,5925,4259,40.655293,-73.96149400000002
PARSONS BLVD,404,03/10/2020,F,6620,6931,40.707714,-73.8028238
PATH NEW WTC,405,03/10/2020,1,51081,46911,40.7126452,-74.00989799999999
PATH WTC 2,406,03/10/2020,1,2766,8739,40.7117347,-74.0121198
PAVONIA/NEWPORT,407,03/10/2020,1,13612,14097,40.726699,-74.03612489999999
PELHAM BAY PARK,408,03/10/2020,6,7123,4013,40.85293069999999,-73.8270555
PELHAM PKWY,409,03/10/2020,25,8508,4014,40.8588602,-73.8554592
PELHAM PKWY,410,03/10/2020,5,3444,2422,40.8570653,-73.86770589999999
PENNSYLVANIA AV,411,03/10/2020,3,4539,2594,40.6646911,-73.8941747
PRESIDENT ST,412,03/10/2020,25,3797,4450,40.6681585,-73.9506586
PRINCE ST,413,03/10/2020,NRW,8892,9185,40.7242323,-73.997806
PROSPECT AV,414,03/10/2020,25,7212,2378,40.66541369999999,-73.99292590000002
PROSPECT AV,415,03/10/2020,R,5562,4050,40.66541369999999,-73.99292590000002
PROSPECT PARK,416,03/10/2020,BQS,9354,7583,40.6608941,-73.9621229
QUEENS PLAZA,417,03/10/2020,EMR,14885,14271,40.7488451,-73.9374357
QUEENSBORO PLZ,418,03/10/2020,7NQW,13860,4471,40.750584,-73.940201
RALPH AV,419,03/10/2020,C,5694,2989,40.6787336,-73.9215528
RECTOR ST,420,03/10/2020,1,6840,5199,40.7078954,-74.01363649999999
RECTOR ST,421,03/10/2020,NRW,6038,2188,40.7078954,-74.01363649999999
RIT-MANHATTAN,422,03/10/2020,R,3138,42,40.7830603,-73.9712488
RIT-ROOSEVELT,423,03/10/2020,R,2926,62,40.746739,-73.8909986
ROCKAWAY AV,424,03/10/2020,3,4828,5682,40.6625632,-73.9089054
ROCKAWAY AV,425,03/10/2020,C,5724,3680,40.6784919,-73.91077179999999
ROCKAWAY BLVD,426,03/10/2020,A,7215,2031,40.6803958,-73.84383849999999
ROCKAWAY PARK B,427,03/10/2020,AS,591,727,40.5805469,-73.8374249
ROOSEVELT ISLND,428,03/10/2020,F,5858,5233,40.7591215,-73.95331879999999
SARATOGA AV,429,03/10/2020,3,5281,5749,40.6615729,-73.9160543
SENECA AVE,430,03/10/2020,M,3333,3501,40.7028022,-73.9077234
SHEEPSHEAD BAY,431,03/10/2020,BQ,13282,12125,40.5867923,-73.95424229999999
SHEPHERD AV,432,03/10/2020,C,3275,1930,40.6741306,-73.8808073
SIMPSON ST,433,03/10/2020,25,8234,2399,40.8242542,-73.89289169999999
SMITH-9 ST,434,03/10/2020,FG,4258,5418,40.6739071,-73.9965515
SOUTH FERRY,435,03/10/2020,1RW,12395,8846,40.7017294,-74.0129572
SPRING ST,436,03/10/2020,6,7698,9277,40.722301,-73.99713899999999
SPRING ST,437,03/10/2020,CE,11883,2347,40.7257799,-74.00395209999999
ST LAWRENCE AV,438,03/10/2020,6,4040,4102,40.8315326,-73.8672593
ST. GEORGE,439,03/10/2020,1,12113,0,40.84913,-73.93372889999999
STEINWAY ST,440,03/10/2020,MR,13325,10947,40.7567049,-73.9206646
STERLING ST,441,03/10/2020,25,5187,3458,40.6632908,-73.951044
SUTPHIN BLVD,442,03/10/2020,F,4446,3262,40.7055477,-73.8097056
SUTPHIN-ARCHER,443,03/10/2020,EJZ,21420,19762,40.7005728,-73.8077071
SUTTER AV,444,03/10/2020,L,3457,2873,40.6693045,-73.9019022
SUTTER AV-RUTLD,445,03/10/2020,3,6721,7874,40.6649921,-73.92290849999999
THIRTY ST,446,03/10/2020,1,9936,6782,40.8564197,-73.932621
THIRTY THIRD ST,447,03/10/2020,1,18475,13697,40.749111,-73.98824
TIMES SQ-42 ST,448,03/10/2020,1237ACENQRS,14540,8544,40.7558611,-73.987061
TIMES SQ-42 ST,449,03/10/2020,1237ACENQRSW,45225,51618,40.7558611,-73.987061
TIMES SQ-42 ST,450,03/10/2020,ACENQRS1237W,14037,18540,40.7558611,-73.987061
TOMPKINSVILLE,451,03/10/2020,1,678,1,40.6376266,-74.07502889999999
TREMONT AV,452,03/10/2020,BD,9661,6312,40.85041,-73.905228
TWENTY THIRD ST,453,03/10/2020,1,8826,10291,40.74112969999999,-73.9890454
UNION ST,454,03/10/2020,R,6838,5136,40.6771729,-73.9832467
UTICA AV,455,03/10/2020,AC,15477,12692,40.6793738,-73.9306335
V.CORTLANDT PK,456,03/10/2020,1,6354,2683,40.889904,-73.8982903
VAN SICLEN AV,457,03/10/2020,3,2742,3058,40.6654424,-73.8891273
VAN SICLEN AV,458,03/10/2020,JZ,2642,2893,40.6780358,-73.89172470000001
VAN SICLEN AVE,459,03/10/2020,C,2968,3005,40.67274219999999,-73.8903155
VERNON-JACKSON,460,03/10/2020,7,14490,10227,40.7426713,-73.9537248
W 4 ST-WASH SQ,461,03/10/2020,ABCDEFM,34478,32811,40.732299,-74.0005192
W 8 ST-AQUARIUM,462,03/10/2020,FQ,2297,1508,40.576126,-73.975937
WAKEFIELD/241,463,03/10/2020,2,4592,5180,40.9035209,-73.8504209
WALL ST,464,03/10/2020,23,20979,20473,40.7063965,-74.0094441
WALL ST,465,03/10/2020,45,16434,13117,40.7063965,-74.0094441
WEST FARMS SQ,466,03/10/2020,25,5397,4563,40.8405859,-73.8796649
WESTCHESTER SQ,467,03/10/2020,6,6263,5834,40.8401247,-73.8428258
WHITEHALL S-FRY,468,03/10/2020,R1W,14960,14622,40.702161,-74.0127837
WHITLOCK AV,469,03/10/2020,6,1905,2150,40.8267442,-73.8863456
WILSON AV,470,03/10/2020,L,4307,3893,40.6887823,-73.9046724
WINTHROP ST,471,03/10/2020,25,7062,1959,40.6571773,-73.9500546
WOODHAVEN BLVD,472,03/10/2020,JZ,4832,2903,40.6939097,-73.85139269999999
WOODHAVEN BLVD,473,03/10/2020,MR,18413,11762,40.7333477,-73.8704271
WOODLAWN,474,03/10/2020,4,6409,1730,40.88603699999999,-73.878751
WORLD TRADE CTR,475,03/10/2020,ACE23,14364,12258,40.7126452,-74.00989799999999
WTC-CORTLANDT,476,03/10/2020,1,10316,10030,40.7117347,-74.0121198
YORK ST,477,03/10/2020,F,10608,5367,40.7013482,-73.98660009999999
ZEREGA AV,478,03/10/2020,6,2708,2637,40.8368105,-73.8466696
